Row Labels,Count of address,Sum of inETH,Sum of wProfETH,avgYield,avgProf,waProf
0x1B5D62B57b6d0Cfe5b77534b065c37e9EeB9e676,1,3.547762216,1245.348168,98.94224903,351.0235727,351.0235727
0xA6E683d5dCCce898F16BB48071F08f2304c8Ba09,1,1907.374944,666698.3907,0.183255602,349.5371442,349.5371442
0x6f6456e4Ed4f997896CA7C8D53d945D654ba45F9,1,241.348698,83407.85623,1.431914341,345.5906617,345.5906617
0x4026064CAbA17596670D1655C771124C309494fB,1,219.5049948,74311.91141,1.542302697,338.5431456,338.5431456
0xF92660595bBf1C76071f262e186bd2182815c613,1,88.28556859,29551.98896,3.79146699,334.7318189,334.7318189
0x47711F370F7dB86050987F881d68Cdb71E2D3e6E,1,431.2087908,140081.8572,0.75336715,324.8585378,324.8585378
0x5392f73B013eA80b4c5eEc3ea229388809114537,1,428.5138842,136948.7499,0.745810128,319.5899946,319.5899946
0x65b27BA7362ce3f241DAfDFC03Ef24D080e41413,2,21.55237529,6886.201673,12.6852348,186.6344653,319.5101041
0xe4e8F73096301B0938B896a79521088633B85B75,2,869.8238229,266884.6108,2.242423118,215.5120021,306.8260535
0x3b4503CBA9ADd1194Dd8098440e4Be91c4C37806,4,240.3673048,73331.1124,0.700374381,127.9458365,305.0793969
0x9c5083dd4838E120Dbeac44C052179692Aa5dAC5,3,232.4583133,69001.8254,2.834627702,160.1079416,296.8352666
0xB45b74Eb35790d20e5f4225b0AC49D5bb074696E,1,29.94946464,8875.470507,9.894942113,296.348219,296.348219
0x98A05A59Bd854F70ed9c8Ce814423E76F749b2FC,1,189.3938929,55432.26816,1.545363703,292.6824477,292.6824477
0x3a189bA2A93C3bA331828906399015067F2aC072,1,574.7698429,162681.7383,0.492437205,283.0380548,283.0380548
0x5c391b2edc2174BeA333a508C48d8EFC116D474D,1,30.07668409,8211.97069,9.077943644,273.0344431,273.0344431
0x4299D864BBDa0FE3272da750F8F7E8757A8ef534,2,91.33293231,24187.21406,20.82970466,161.237391,264.8246743
0x1FF636f58d92A5532b6B4002dDE4bAeCed52eDC6,1,344.2579937,90466.86444,0.763346065,262.7879849,262.7879849
0x65B1B96bD01926d3d60DD3c8bc452F22819443A9,1,118.8576679,30945.33067,2.190487194,260.3561994,260.3561994
0x8a10c613195176FD4fb9019d561338f9f7275f16,1,248.5149155,64447.07436,1.043514018,259.3287981,259.3287981
0x6bB8Bc41E668B7c8eF3850486C9455B5C86830b3,1,34.54360837,8830.832486,7.400588289,255.6430235,255.6430235
0xECB6a3E0E99700b32bb03BA14727d99FE8E538cf,3,304.2255971,76618.37876,1.840991889,210.8539444,251.8472459
0xF2Df969F59B2c86E4B230dA88918cDEbCfc4cCBC,3,321.708375,80846.8289,1.595128921,208.9397066,251.3047069
0xC59eadE1BE99e8660eb428E49c2bFB0130B3e242,2,193.3245445,47918.83076,4.668618519,290.9047659,247.867289
0x68aF70143172a109f414d5E935bFb8900FF7ff46,3,301.3294875,73933.86852,1.517637346,165.2155527,245.3588898
0x555187752Ef6d73758862B5d364AAB362c996d0e,1,539.1717615,130404.5478,0.448578507,241.8608636,241.8608636
0x5DD596C901987A2b28C38A9C1DfBf86fFFc15d77,4,13.05098076,3145.863469,58.3267335,213.0683151,241.0442193
0xb9A708c67E2e13035a5Feb0F1a2f9e3B625EbD62,1,44.58292257,10608.61954,5.337302342,237.9525371,237.9525371
0x473afAb58B2C5D4DbC5FAD5D236f6658AD84E83b,1,15.2744831,3595.644433,15.41145683,235.4020368,235.4020368
0x55e1490a1878D0B61811726e2cB96560022E764c,2,44.823522,10407.86611,15.47984334,273.0712665,232.1965265
0x73197C53BbB68D560945f008043a70e6d8FDe527,1,135.1204936,31107.1022,1.703794099,230.2174997,230.2174997
0xc6db1db370fb85B72610947E536c3e7599b42e72,1,35.38553683,8130.334,6.493170545,229.7643255,229.7643255
0xe229f68271345C696BA5980cd5486E76F31C2eB9,1,112.7643415,25442.97475,2.000895056,225.6296133,225.6296133
0xC23ef3AdF050f4Ca50b30998D37Eb6464e387577,1,52.44838214,11825.29295,4.29880471,225.4653521,225.4653521
0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f,1,1.107638245,249.0073959,202.9627602,224.8093156,224.8093156
0x6455C07be90F40d51B041E128B2C4b00c56DE508,1,2.005677396,450.542378,111.9988303,224.6335223,224.6335223
0x7E6601A0Cb2B5aE129c09661846a053ea07223Fb,1,19.89721423,4466.196425,11.28114725,224.4634035,224.4634035
0x1E5aeBcfdC780Da4Fb506e93a0b398490fD94864,1,180.9382619,40188.39532,1.227551828,222.1110941,222.1110941
0xA96d5Fef3029A46a31BF4865CFDe08684A8b9bb3,1,2.323060748,514.4524057,95.32878742,221.4545642,221.4545642
0x7499c6c5D844fCA62B7204edE460A66F649E6885,1,101.4375938,22427.43307,2.179624552,221.0958701,221.0958701
0x419E611842ca80d3F31c81175eC36D5Ea5bFf0EB,1,100.2537578,22014.85732,2.190355231,219.5913429,219.5913429
0x0D533Ffaa4f930d97710776524ba463Fe482c4f7,1,25.64067411,5608.238292,8.530364337,218.724292,218.724292
0x05E2461c8c10138aEE241268f28dE6003D3DBAdB,2,16.7120685,3620.974364,24.77022447,211.5559409,216.6682337
0xd11c00EA655E272ed0c3513Ee02CE4780b71E126,2,70.06022629,15073.69228,2.973430804,115.9100121,215.1533484
0x7B2eF92fDecdf4a156365EB78c9E92b44588Fe84,1,486.3821676,102357.9799,0.432679599,210.4476411,210.4476411
0xeBeD2200b9aD455Fec52650D00aB86Fc2858fde4,1,128.8271596,25970.53458,1.564825903,201.5920763,201.5920763
0x880f3cE5f088F41Aa9cCE475bdD66838634D7c85,1,517.1678253,104002.1727,0.388847594,201.0994645,201.0994645
0x1d5E65a087eBc3d03a294412E46CE5D6882969f4,1,13.81960695,2772.67498,14.51802638,200.6334182,200.6334182
0x2df3Fde898113cFac1e3d6B7e7b8fD3Da851B5CE,2,32.11574727,6438.648337,8.568010378,162.1574034,200.4825945
0xc7ca02DC88A2750031DC04515438C3a505bcC994,2,338.1915707,67792.8574,1.242944277,201.9161143,200.4569696
0xC77FA6C05B4e472fEee7c0f9B20E70C5BF33a99B,4,83.99955619,16788.53872,2.175230796,67.05674173,199.8646122
0x170CCF19d1FE9F1C360A2Ef0e54983F037bB0034,1,13.99431707,2779.533364,14.19281273,198.6187215,198.6187215
0x600b8A34ec1CfD8B8aF78cFC49708419A16ea2e8,2,48.67396847,9625.31663,17.80660812,196.3839644,197.7508087
0x4c990aAB5D7Be2811a4A264314F31C43844cA1D1,1,63.68547238,12562.6989,3.097435003,197.2616113,197.2616113
0x0DC411b17d337Af85D83eA5A3577D09132Aae866,2,1178.51835,230104.7915,0.273579642,98.00133289,195.2492225
0x49f4f2Cd10FAfe584242A4C6a5471d1D22386c7E,1,160.3321194,31196.69297,1.213577432,194.5754417,194.5754417
0xDD6Fc573CF73701aa31834644E245d9fb5BF906d,1,119.7526592,23039.49798,1.606581196,192.3923705,192.3923705
0x4B843a291b37cE69481a0c5Df85886ACC74C6Ff6,1,163.9426552,31491.70716,1.171688791,192.0897714,192.0897714
0xA2b6296ed37F702437d2d571EaD7E25ae8CbCDfB,1,1.470384466,281.8922115,130.3830886,191.7132682,191.7132682
0x2CA3a2b525E75b2F20f59dEcCaE3ffa4bdf3EAa2,1,101.2585639,19257.78841,1.878204528,190.1842932,190.1842932
0xeaECa92e670E1Ea36FbC118d6132D582586Cc81f,1,358.1688253,67463.48658,0.525887947,188.3566682,188.3566682
0xDF508c94E1b33eB069cc5F0B66769146184a0024,1,50.48312388,9487.159639,3.722577656,187.927349,187.927349
0x5caC990Dcb06c2379299Da6669d4494b867d7595,2,80.66768865,15029.93555,7.976408559,119.5123335,186.3191545
0xc04BF8D91D2b24665F6f53e8D6Ba6406554A007C,1,124.4084852,23091.22386,1.491924849,185.6081105,185.6081105
0xA5F6ba5B6E935366Eb10628344fDe648751663a1,1,164.451523,30352.03749,1.122307978,184.5652563,184.5652563
0xfc90FAc785B6cd79A83351Ef80922Bb484431E8d,1,137.1301295,25179.86653,1.339021812,183.6202345,183.6202345
0xd86D40cCbc02ea258c442185BF16F16D6336Fc1B,1,157.8122285,28763.57026,1.154945487,182.2645211,182.2645211
0x5abfbE56553a5d794330EACCF556Ca1d2a55647C,2,339.4709119,61641.6152,-0.070670965,90.47623363,181.5814347
0x7c8bC95EBE9C66853A539fDb896f12f555A8CA20,2,126.7382594,22964.39683,2.171710356,111.3295688,181.195457
0xd47140F6Ab73f6d6B6675Fb1610Bb5E9B5d96FE5,2,255.5712299,46087.52517,3.01738607,139.6412935,180.3314293
0xADEEb9d09B8Bcee10943198FB6F6a4229bAB3675,2,102.488739,18386.34894,1.21525554,94.08366088,179.3987235
0x66d9c0c86B24912DE39D7DB994B36Ccb91366367,1,148.8438798,26530.08555,1.197503211,178.241024,178.241024
0x2018d1F5dC7991B1f13C32e5C74b69b0A34a5235,1,177.5695244,31646.73927,1.003672687,178.2216817,178.2216817
